"id","term","category","weight"
"117","not","A","-0.09464391473039095"
"118","only","A","-0.3236139364204854"
"119","earned","A","0.010208825918841319"
"120","ged","A","-0.018674861277549658"
"121","rode","A","-0.003101468127369717"
"122","bike","A","-0.04766280256528364"
"123","rain","A","-0.004166653505528832"
"124","snow","A","0.06545382967659322"
"125","wanted","A","0.18511566482507621"
"126","be","A","0.16604318824346023"
"127","there","A","-0.10922428225795376"
"128","had","A","-0.07579361463893718"
"129","second","A","-0.1468500714930819"
"130","chance","A","0.03828149717224347"
"131","change","A","0.028851696238655435"
"132","life","A","0.11105468458000779"
"133","your","A","0.25149613028039447"
"134","gift","A","0.15511312996757515"
"135","will","A","0.013542762795915576"
"136","help","A","0.2616876562117981"
"137","many","A","-0.15297497990090766"
"138","who","A","0.2799105656126099"
"139","want","A","0.19804767462417466"
"140","tell","A","0.03612768331715646"
"141","their","A","0.07427175748222152"
"142","own","A","0.06614694059028099"
"143","stories","A","-0.0721459490095505"
"144","them","A","-0.052520989558389415"
"145","go","A","0.01241849657983421"
"146","please","A","-0.1102990521304351"
"147","use","A","-0.11517487785178471"
"148","enclosed","A","-0.0668463646621536"
"149","envelope","A","-0.028279136162417697"
"150","give","A","0.06567151502887415"
"151","generous","A","0.05019378448338902"
"152","today","A","0.1915611954626577"
"153","!","A","2.0944591985294783"
"154","sincerely","A","-0.25544400969272346"
"155","william","A","-0.05651319301703076"
"156","carter","A","-0.019407642375328948"
"157","chairman","A","-0.13298483874581837"
"158","industries","A","-0.04319996717109574"
"159","foundation","A","-0.0862930572033565"
"160","p","A","-0.16737580139037117"
"161","s","A","0.007483331067447677"
"162","is","A","-0.10892387199172418"
"163","wise","A","-0.020140097575247252"
"164","investment","A","-0.056018042872608996"
"165","community","A","-0.03424185380975403"
"166","every","A","0.24015276325529095"
"167","dollar","A","0.01106458513712214"
"168","donated","A","0.013461625888093947"
"169","1998","A","0.005433188876892465"
"170","we","A","0.2392110952453562"
"171","helped","A","0.034349519580043404"
"172","graduates","A","0.016293947802778375"
"173","earn","A","0.002739103785531616"
"174","estimated","A","-0.014901480045905845"
"175","$","A","0.27787177909424227"
"176","102","A","0.013701507685881449"
"177","money","A","0.06854834890445648"
"178","then","A","0.10312829329489004"
"179","spent","A","-0.06412724272923497"
"180","variety","A","-0.0017156248761742957"
"181","ways","A","0.04613419695345876"
"182","adding","A","-0.020451766628271743"
"183","fuel","A","0.014540988507264608"
"184","thriving","A","-0.002561955987516228"
"185","economy","A","0.05161790158254203"
"186","tells","A","0.024309901008066157"
"187","me","A","0.3839954191749721"
"188","3,666","A","0.0011864131321365485"
"189","find","A","0.1151125623275095"
"190","jobs","A","0.030523890614009855"
"191","approximately","A","0.0027284492525195955"
"192","49","A","-0.009440429384823455"
"193","million","A","-0.21676442812122898"
"194","dollars","A","-0.037624834666725136"
"195","few","A","-0.013931033535332392"
"196","months","A","-0.09703826154112799"
"197","ago","A","-0.012256502877069867"
"198","you","A","0.6723035455323431"
"199","received","A","0.04306929145953206"
"200","telling","A","0.03531257810745756"
"201","addition","A","0.025672024740754706"
"202","by","A","-0.26212980061610447"
"203","helping","A","-0.01681662474465869"
"204","reduced","A","-0.0077621632582570805"
"205","state's","A","0.021237936339715248"
"206","tab","A","0.006830036150572492"
"207","4","A","-0.10969640353559482"
"208","us","A","0.39266387287381904"
"209","do","A","-0.08121751265285251"
"210","even","A","0.08872636639351487"
"211","this","A","0.1448402028372168"
"212","year","A","0.1527585225188514"
"213","because","A","0.04820952261070577"
"214","used","A","-0.09390957364719468"
"215","directly","A","-0.02071990734768115"
"216","kind","A","0.03807527649962726"
"217","does","A","-0.1164553603345887"
"218","finds","A","-0.0003148355862519103"
"219","mental","A","-0.025302938707433064"
"220","physical","A","-0.016903810296663685"
"221","disabilities","A","0.00246643070321768"
"222","maureen's","A","0.00484544799839368"
"223","coach","A","-0.010988213252206998"
"224","taught","A","-0.03975489016629163"
"225","how","A","-0.015314124381453567"
"226","restaurant","A","0.0025117918509008036"
"227","maureen","A","0.00484544799839368"
"228","shadow","A","0.0037436324400296436"
"229","sometimes","A","-0.05170961884315163"
"230","cast","A","0.0013091188506642976"
"231","over","A","0.3011163633126924"
"232","fulfilling","A","0.010874516767215627"
"233","smack","A","0.00484544799839368"
"234","dab","A","0.00484544799839368"
"235","middle","A","0.0029070668727347176"
"236","society","A","-0.03229664377417784"
"237","time","A","0.0928456486148355"
"238","someone","A","0.10373180062449072"
"239","solution","A","0.09205905779122628"
"240","barrier","A","-0.026487689930587737"
"241","positive","A","0.07716208410973484"
"242","effects","A","-0.052398945667133566"
"243","radiate","A","0.005569172606090644"
"244","throughout","A","-0.04157818979702551"
"245","business","A","-0.08006116907219628"
"246","welcomes","A","0.03628174249143979"
"247","worker","A","-0.00578305721092737"
"248","but","A","-0.0832854165972101"
"249","consumer","A","0.004541915728535631"
"250","increased","A","0.07217057211390115"
"251","purchasing","A","-0.009624664949748934"
"252","power","A","0.026618145156185522"
"253","parents","A","0.07804637562579944"
"254","act","A","-0.023735731312232753"
"255","as","A","-0.1547138724162221"
"256","role","A","-0.055299022633481944"
"257","models","A","-0.05112002930672744"
"258","self-sufficiency","A","0.007465477265233442"
"259","instead","A","-0.042538905368599736"
"260","dependency","A","-0.012988252592954119"
"261","tax","A","-0.07906224340889667"
"262","would","A","-0.23595922520622628"
"263","have","A","0.051455355726006"
"264","been","A","0.00815345630679233"
"265","on","A","-0.05326500490204913"
"266","are","A","-0.01937405637261278"
"267","saved","A","0.003215566755554151"
"268","know","A","-0.2643007110096125"
"269","solutions","A","-0.04382026640255342"
"270","difficult","A","-0.07798234734006917"
"271","problems","A","0.05615615769463589"
"272","don't","A","0.14133912387320488"
"273","just","A","0.0948810517316307"
"274","happen","A","0.055615811714073246"
"275","it","A","0.2114669371785606"
"276","hard","A","-0.0037844032580156514"
"277","staff","A","-0.08119376464983383"
"278","those","A","0.10868408592179125"
"279","benefit","A","0.03072698902411292"
"280","services","A","-0.11919463414437272"
"281","produces","A","-0.007457762807375609"
"282","inspiring","A","0.011504161973639283"
"283","results","A","-0.12324432051580696"
"284","see","A","-0.14499510736082774"
"285","day","A","0.1856190246697373"
"286","member","A","-0.030568671381215662"
"287","addresses","A","-0.06196711957323182"
"288","group","A","0.04308677578907063"
"289","recipients","A","-0.025613015943758505"
"290","can","A","0.06977982306574253"
"291","yourself","A","0.16742381415308819"
"292","says","A","0.11690704004960562"
"293","november","A","-0.22475894403743987"
"294","15","A","-0.14677410075547792"
"295","1996","A","-0.08947336294353048"
"296","did","A","-0.21389208932745443"
"297","participant","A","0.005800978637893513"
"298","program","A","-0.12584536793293097"
"299","rushes","A","-0.006095092179572203"
"300","back","A","0.1287135524826589"
"301","interview","A","-0.0332349864343382"
"302","share","A","-0.05222512822518298"
"303","classmates","A","0.010678445497494422"
"304","training","A","-0.06674366712840887"
"305","objectives","A","-0.025706368073055607"
"306","call","A","-0.11914168190215571"
"307","30","A","0.015464070729467228"
"308","once","A","-0.16846298343567748"
"309","tears","A","0.036102400977634966"
"310","subsided","A","0.01677353767706666"
"311","confirms","A","0.024425562342334936"
"312","already","A","0.03953289931622784"
"313","figured","A","-0.008820132467565432"
"314","offer","A","-0.0487389473337621"
"315","-","A","0.00016062352726469185"
"316","five","A","0.04893444144266305"
"317","years","A","-0.02812961165308069"
"318","addressing","A","0.002518538908109039"
"319","meeting","A","0.02427009465559509"
"320","neighborhood","A","0.06161980455478069"
"321","center","A","-0.14453783236305354"
"322","audience","A","-0.007313006054171952"
"323","keep","A","-0.16805626642115395"
"324","next","A","-0.08502697382272725"
"325","corner","A","-0.00412537779097586"
"326","order","A","0.03008428165926525"
"327","develop","A","-0.05023504374089739"
"328","man","A","-0.049843567194360866"
"329","some","A","-0.10870270291049933"
"330","serious","A","0.06729072458771602"
"331","begins","A","-0.005994041259801156"
"332","industrial","A","-0.017278930163301967"
"333","division","A","-0.03782134314717764"
"334","has","A","-0.17599042380614185"
"335","no","A","0.00438458846840842"
"336","waste","A","0.12084424281246536"
"337","takes","A","-0.0035201397858405483"
"338","long","A","-0.19129728974715318"
"339","gain","A","-0.03377221376013723"
"340","self-confidence","A","0.005319266121298817"
"341","elsewhere","A","-0.019002584631851054"
"342","eventually","A","0.004862005655195033"
"343","turns","A","-0.08487055792769209"
"344","into","A","0.03277013935992752"
"345","payoff","A","-0.005774580141962538"
"346","all","A","0.26031624624685384"
"347","proudly","A","0.01382608494921498"
"348","leaves","A","0.12110392667448013"
"349","himself","A","0.01102185028715286"
"350","these","A","-0.08219698595469585"
"351","successes","A","0.02865518518142775"
"352","real","A","0.08962113709008504"
"353","neither","A","-0.12237679233907496"
"354","respect","A","-0.0032723440894945007"
"355","we've","A","0.04201373055653459"
"356","u","A","0.40249241641725936"
"357","news","A","-0.06974722696042591"
"358","&","A","-0.1342649054113822"
"359","world","A","0.18668860526802952"
"360","report","A","-0.08865244501926443"
"361","friends","A","0.12290782322445411"
"362","continued","A","-0.0031369488817834836"
"363","adapt","A","0.0012357892582782076"
"364","meet","A","0.042294454620468054"
"365","human","A","-0.19963868824929976"
"366","needs","A","0.07806623046302114"
"367","changing","A","0.07330269044586835"
"368","difference","A","0.22290367661118116"
"369","people's","A","-0.0022929625349914808"
"370","lives","A","0.14229449488067"
"371","most","A","0.08047517539884853"
"372","generosity","A","0.03644090698571002"
"373","rest","A","-0.048989758297889416"
"374","feel","A","-0.02022973836735667"
"375","provide","A","0.04471034850462837"
"376","response","A","0.04924522349715891"
"377","card","A","-0.11901534218347394"
"378","generously","A","-0.003006175693171449"
"379","jack","A","-0.06324536895718257"
"380","dustman","A","-0.0652872666783314"
"381","board","A","-0.0376499477701112"
"382","former","A","-0.026323087509721885"
"383","asking","A","-0.00916534274383136"
"384","make","A","0.19163051580537596"
"385","continue","A","-0.04265104182244466"
"386","mission","A","0.08264976280127014"
"387","prepare","A","0.03835794470870147"
"388","december","A","-0.12976307559342398"
"389","1995","A","-0.20827699393921315"
"390","review","A","0.027542867683236907"
"391","nation's","A","0.018274427671933925"
"392","best","A","0.1517054944616164"
"393","charities","A","-0.024904009214543932"
"394","called","A","0.05886255674769359"
"395","one","A","-0.1327301592826019"
"396","standout","A","0.013051393160780776"
"397","good","A","0.20172979955678144"
"398","guys","A","-0.020985663412871405"
"399","short","A","-0.030407503360412428"
"400","while","A","0.10463342259038587"
"401","since","A","0.04757027251997816"
"402","robert","A","0.015150607145532367"
"403","thoroughly","A","0.08019706078709979"
"404","clean","A","0.054407555161665615"
"405","motel","A","-0.01734832893465205"
"406","room","A","0.10199169262410737"
"407","about","A","-0.1352773309694157"
"408","40","A","-0.044521351757402745"
"409","minutes","A","0.012968755595023232"
"410","magazine","A","0.01181780626404533"
"411","stated","A","-0.007215922392487976"
"412","(","A","-0.6345377110483693"
"413","well","A","-0.010583121601120403"
"414","other","A","-0.19213404061160627"
"415","standouts","A","0.0066028569399462665"
"416",")","A","-0.34596119454183727"
"417","uniquely","A","0.0066028569399462665"
"418","effective","A","-0.03614661838184646"
"419","innovative","A","0.006737001460730862"
"420","or","A","-0.24262169234857509"
"421","valuable","A","0.01058972595397071"
"422","appreciate","A","0.035862606956560364"
"423","report's","A","0.007524013373263354"
"424","endorsement","A","0.03176307399374846"
"425","true","A","-0.039190792112927315"
"426","value","A","-0.04423102720924421"
"427","measured","A","0.0013538338596989729"
"428","way","A","-0.18700372428382744"
"429","affect","A","-0.09686649951749617"
"430","lot","A","0.02741569478113979"
"431","face","A","0.11479730793976975"
"432","challenges","A","0.004721403213588902"
"433","so","A","0.08892001872095667"
"434","must","A","0.12062946431303771"
"435","everyone","A","0.19757324086022143"
"436","benefits","A","0.045817299707627254"
"437","together","A","0.0357197970909922"
"438","need","A","0.04337034758804347"
"439","important","A","0.10903140994411446"
"440","partnership","A","0.040095291781677825"
"441","donation","A","-0.019976721921984193"
"442","james","A","-0.21556655298987662"
"443","m","A","0.04515482172420609"
"444","mcclelland","A","-0.04977964006476667"
"445","president","A","-0.17202362847257294"
"446","break","A","-0.03365965687631667"
"447","free","A","0.3644781140157545"
"448","cycle","A","-0.007251975054362336"
"449","enter","A","-0.026470057118529573"
"450","workforce","A","0.004460581254057701"
"451","10","A","0.010953206418066377"
"452","expanded","A","0.00512100385509053"
"453","proven","A","0.002741673059350093"
"454","methods","A","0.005074891087841166"
"455","towns","A","0.019732889073583705"
"456","neighborhoods","A","0.06928946674213492"
"457","where","A","-0.10352655090125562"
"458","they","A","0.16788369596449598"
"459","needed","A","0.10971071468168707"
"460","course","A","0.03150659130299326"
"461","played","A","-0.02087826893725361"
"462","different","A","-0.10593194797602545"
"463","roles","A","0.013443424339824164"
"464","possible","A","-0.12093540749519552"
"465","previous","A","-0.0671057761508814"
"466","mailhouse","A","0.008072463991206811"
"467","donor","A","0.026381276870178844"
"468","reminder","A","0.051183062557398726"
"469","devised","A","-0.015558973863024827"
"470","programs","A","-0.1130695270325194"
"471","turned","A","-0.15608008285190078"
"472","benefited","A","0.054370635665912714"
"473","when","A","0.014770031918197774"
"474","somebody","A","-0.001925435086025705"
"475","person","A","0.037648931284994094"
"476","joins","A","-0.0037018643478497213"
"477","ranks","A","-0.006972029684569075"
"478","payers","A","-0.001982199625371192"
"479","fewer","A","-0.03145092965374393"
"480","businesses","A","0.013620297555227064"
"481","done","A","-0.14302786117042288"
"482","barriers","A","0.0024213810717976783"
"483","history","A","-0.11651031516409135"
"484","lack","A","-0.020335090902179876"
"485","education","A","-0.05255539793336568"
"486","self-esteem","A","0.0009022172311737344"
"487","loves","A","0.04801036058564251"
"488","goals","A","-0.013502333730339775"
"489","set","A","-0.11370976791413939"
"490","moving","A","-0.07127708415157831"
"491","up","A","0.18108401629597012"
"492","company","A","-0.04404513008722947"
"493","thousands","A","0.1714760014234785"
"494","come","A","0.24511923909215072"
"495","michael","A","0.029222552195112585"
"496","two","A","-0.06487730264848103"
"497","common","A","-0.025216687804475384"
"498","characteristics","A","-0.002687463071200855"
"499","overcome","A","0.06623075309988806"
"500","comes","A","0.10663681694583511"
"501","pay-off","A","0.0004968294091015915"
"502","entire","A","0.06753991450536108"
"503","participants","A","-0.06465233411744702"
"504","paid","A","0.025220195255730667"
"505","taxes","A","0.1041999999504643"
"506","wages","A","0.007475554602022669"
"507","nearly","A","0.04764969705977161"
"508","3.5","A","-0.002071496939800874"
"509","sims","A","0.015225723755503046"
"510","felt","A","0.2695502892370194"
"511","age","A","-0.021154091231858744"
"512","39","A","-0.007913624136223112"
"513","also","A","-0.1403022375782951"
"514","taxpayers","A","-0.004375571175889748"
"515","three-quarters","A","-0.0013268323614192582"
"516","1994","A","-0.16754658345481477"
"517","savings","A","-0.053913400308962765"
"518","counted","A","-0.03813091538489368"
"519","cents","A","-0.09660534629519922"
"520","however","A","-0.0293218240392976"
"521","families","A","-0.059136874652479736"
"522","new","A","-0.047084152082320245"
"523","wage","A","-0.012095006320071303"
"524","earners","A","-0.0025248167703660106"
"525","may","A","-0.27462259966676517"
"526","accomplishment","A","-0.0025248167703660106"
"527","terms","A","-0.17245621827292382"
"528","house","A","0.09962190954337674"
"529","live","A","0.059743318614085446"
"530","purchase","A","-0.043083025208190476"
"531","food","A","0.10445008742033046"
"532","without","A","0.10652292109956074"
"533","stamps","A","-0.004525651044184141"
"534","beginning","A","-0.026162653448265925"
"535","focused","A","-0.03854825619713213"
"536","hopelessness","A","-0.0025248167703660106"
"537","won't","A","-0.016597512118337692"
"538","send","A","-0.09094119587224614"
"539","largest","A","-0.0029321118666542217"
"540","contribution","A","-0.03629974393896703"
"541","comfortably","A","-0.026109755593315874"
"542","meaning","A","-0.06486422941028665"
"543","word","A","0.017222883434536648"
"544","seldom","A","0.005867692010602591"
"545","reason","A","0.04289168134875543"
"546","born","A","-0.03328617209795302"
"547","cerebral","A","0.016141279989309594"
"548","palsy","A","0.016141279989309594"
"549","returned","A","-0.031262588738889846"
"550","1.59","A","0.0050736020898651535"
"551","form","A","-0.18537315583811226"
"552","payments","A","-0.027966528157727193"
"553","upon","A","-0.004970123584975737"
"554","entering","A","-0.001224342334358166"
"555","force","A","0.24341977699093867"
"556","discovered","A","0.1643941463697188"
"557","opportunities","A","0.10457373753842014"
"558","seemed","A","0.09713874306738406"
"559","match","A","0.05246128295503181"
"560","abilities","A","0.007398518772296398"
"561","several","A","0.00018103569409534944"
"562","performed","A","0.02579126087174938"
"563","packaging","A","-0.02946537574280434"
"564","clerical","A","-0.02118730356116271"
"565","recent","A","-0.00849564674261922"
"566","lasted","A","0.0033519176916937178"
"567","before","A","-0.17794058022316914"
"568","cut-backs","A","-0.00023221088470232648"
"569","eliminated","A","0.023518629280205938"
"570","position","A","-0.007991327078026845"
"571","18","A","-0.062420004954165775"
"572","think","A","-0.017264418237877097"
"573","greatest","A","0.006663695259286911"
"574","accomplishments","A","-0.0028080758424896828"
"575","resorted","A","0.008524018462452565"
"576","survive","A","0.008388144559505739"
"577","finally","A","0.03652136393755795"
"578","michael's","A","0.0015801590162384553"
"579","counselors","A","-0.022084492693193923"
"580","personable","A","0.0015801590162384553"
"581","demeanor","A","0.0015801590162384553"
"582","major","A","-0.02354467285639125"
"583","attribute","A","-0.005262652263101741"
"584","identified","A","0.02992086246485009"
"585","job-match","A","0.0015801590162384553"
"586","shine","A","-0.0160864605084691"
"587","three","A","-0.10147028630014096"
"588","interviews","A","-0.009831882143934989"
"589","proved","A","-0.012829735708019962"
"590","right","A","0.26190815919730953"
"591","joy","A","0.3084924640549929"
"592","bring","A","0.09585740634413402"
"593","loved","A","0.016064054681290924"
"594","ones","A","0.04372654640484738"
"595","clubhouse","A","-0.014306073621419425"
"596","monitor","A","-0.04717347921059249"
"597","bent","A","0.012623595585823861"
"598","tree","A","-0.010390915034099984"
"599","apartments","A","-0.014306073621419425"
"600","provides","A","-0.01736886897386282"
"601","customer","A","-0.03811065479538737"
"602","service","A","-0.06375614747813974"
"603","50","A","0.0013429378420682734"
"604","60","A","0.016946762814940633"
"605","tenants","A","-0.014306073621419425"
"606","each","A","0.033617545136673914"
"607","night","A","-0.022840609232832276"
"608","complaint","A","0.0030544929546997596"
"609","discourages","A","-0.0006272670829361696"
"610","unemployment","A","0.05712970655438902"
"611","entry-level","A","-0.0006272670829361696"
"612","include","A","-0.044012128771261344"
"613","strongest","A","0.025127656775947076"
"614","critics","A","0.0507310798789439"
"615","become","A","0.04939462266428585"
"616","dependent","A","-0.0136030693199062"
"617","that's","A","0.11913398498185039"
"618","train","A","0.014868613220887037"
"619","placed","A","0.0047121893561309245"
"620","511","A","0.01414323434320192"
"621","double","A","0.05120700481287276"
"622","1993","A","-0.003975201153162659"
"623","debate","A","0.05346043573274942"
"624","reform","A","-0.010805979445362386"
"625","gathering","A","0.02972618269872025"
"626","storm","A","0.024608858542853038"
"627","sea","A","0.08200053300504934"
"628","floundering","A","0.0035694431468385863"
"629","getting","A","-0.005945751094144796"
"630","answer","A","0.10462537153377618"
"631","uncertain","A","-0.035416680535297895"
"632","unknown","A","-0.00771638711348609"
"633","starting","A","0.0623899086499496"
"634","date","A","-0.016124402738600937"
"635","its","A","-0.138946988929121"
"636","lowest","A","0.007034755922077269"
"637","point","A","-0.11180585543714411"
"638","central","A","-0.059655804266841035"
"639","indiana","A","-0.05231860578319844"
"640","still","A","0.27884713116075494"
"641","finding","A","0.04719902938517288"
"642","meaningful","A","-0.028735320986603096"
"643","jerry","A","-0.01533089097214843"
"644","ex-offenders","A","-0.007078815941816711"
"645","blind","A","0.004154367917152668"
"646","deaf","A","0.003495169949990459"
"647","100","A","0.05373696302889852"
"648","were","A","0.018850142488439376"
"649","homeless","A","0.025637493491779607"
"650","offers","A","0.0797937570366655"
"651","hope","A","0.17466687644719953"
"652","numerous","A","0.023643221967891804"
"653","obstacles","A","0.02077523140138569"
"654","promising","A","-0.0006644112994877169"
"655","plastic","A","-0.05064988090315945"
"656","injection","A","0.014466750253579182"
"657","molding","A","0.0013696918413113048"
"658","manufacturer","A","-0.02775683646877011"
"659","legal","A","-0.014474545900054654"
"660","troubles","A","0.025308131597786672"
"661","check","A","-0.05824496391625322"
"662","safe","A","-0.0003731083645005211"
"663","place","A","-0.029990095247011708"
"664","building","A","-0.048357980288418076"
"665","contributing","A","-0.004688587411918867"
"666","march","A","-0.22323896350360165"
"667","17","A","-0.010020334348928621"
"668","2000","A","-0.13069194935130068"
"669","knew","A","-0.023982254311389086"
"670","made","A","-0.051899788424645515"
"671","bad","A","-0.10293874429437724"
"672","mistake","A","-0.0028631798772331216"
"673","despite","A","-0.005814562201210171"
"674","commitment","A","-0.011207703204573679"
"675","rebuilding","A","0.03234834695594754"
"676","didn't","A","-0.031065276915603006"
"677","count","A","-0.014322225000516591"
"678","thrown","A","0.012497262654690275"
"679","path","A","-0.02915790274611433"
"680","placement","A","-0.01540197642307223"
"681","hardest","A","-0.01009022845854676"
"682","serve","A","-0.04972026055897296"
"683","employers","A","-0.016810609238056287"
"684","resources","A","-0.026991798901662385"
"685","workers","A","-0.03871440390082634"
"686","stability","A","-0.006722168562679784"
"687","sending","A","0.047139674679532104"
"688","themselves","A","0.1250052627471159"
"689","reality","A","0.0005611346421306299"
"690","hit","A","0.2167657711868601"
"691","unable","A","0.04170389914925589"
"692","reconcile","A","0.02509087543550734"
"693","wife","A","-0.08380895131180724"
"694","ended","A","-0.28102164752631253"
"695","street","A","-0.04187481244554012"
"696","name","A","-0.2355329456985891"
"697","address","A","-0.30319490836298135"
"698","city","A","-0.2890835395210746"
"699","st","A","-0.15128336319995117"
"700","zip","A","-0.24730172206000334"
"701","went","A","-0.03562703498485384"
"702","township","A","0.04514791485263145"
"703","trustee","A","-0.0029447337516597684"
"704","until","A","0.059570257077800004"
"705","referred","A","-0.0292514859976957"
"706","blue","A","0.006898509985900793"
"707","triangle","A","-0.0009438994778416446"
"708","consulted","A","-0.0009438994778416446"
"709","academy","A","0.009731540756254748"
"710","search","A","-0.12558323507505922"
"711","jerry's","A","0.02495961900829058"
"712","caseworker","A","-0.014746009094839205"
"713","immediately","A","0.14450860093516404"
"714","end","A","-0.014536045747940872"
"715","seasonal","A","-0.001095812542424102"
"716","construction","A","0.016206841228376727"
"717","obtained","A","-0.014706315958870916"
"718","soon","A","-0.04806386431327482"
"719","released","A","-0.053214139901203314"
"720","prison","A","-0.05428424104532913"
"721","take","A","-0.037668117529203446"
"722","determination","A","-0.027619970220883992"
"723","straighten","A","-0.021100798213715716"
"724","unemployed","A","-0.00477881588831535"
"725","record","A","0.15418876806319243"
"726","faced","A","-0.001066575754255655"
"727","going","A","0.41211914490128004"
"728","failure","A","0.019742780267577306"
"729","pay","A","-0.07295525301449554"
"730","child","A","0.13229839676242372"
"731","such","A","-0.07001060739860529"
"732","fund","A","0.06056809922192487"
"733","often","A","-0.09883227383310873"
"734","college","A","-0.06738917506262929"
"735","tuition","A","-0.046484341366839176"
"736","vocational","A","0.0007045506340355267"
"737","deposit","A","0.004753224549976835"
"738","apartment","A","0.007786507816530827"
"739","private","A","-0.14870005750424473"
"740","doesn't","A","-0.0697389431503841"
"741","exist","A","0.014741650924928329"
"742","children","A","0.07329292892964337"
"743","successfully","A","-0.0017262786370489992"
"744","cross","A","-0.004340766698072332"
"745","threshold","A","-0.017798888540674632"
"746","mary","A","-0.2206014538278868"
"747","roth","A","-0.1817473700800117"
"748","executive","A","-0.2006707498620452"
"749","director","A","-0.28424243638020463"
"750","young","A","-0.07735813969322713"
"751","adults","A","0.03307524612208566"
"752","leave","A","-0.026810639584875378"
