	tokens	ratings
383	brink	7.3834267
384	flee	14.706315
385	gp	14.047379
386	popular	4.585909
387	stack	8.335804
388	fail	1.95768
389	spending	2.181078
390	bear	20.261383
391	unacceptable	3.226881
392	demonstrations	7.6624594
393	states	6.760126
394	insight	18.703043
395	unclear	10.182744
396	conveyed	19.067125
397	pin	4.3549256
398	skeptical	1.9933463
399	college	3.4440084
400	intellectually	3.6378782
401	treated	9.735745
402	kils	21.306175
403	forever	8.08998
404	how	9.403664
405	film	5.326339
406	garish	3.3625143
407	jobs	2.9347517
408	land	15.881737
409	lawsuit	4.5638714
410	americans	11.671573
411	foods	13.222234
412	trapped	9.720585
413	also	6.2496595
414	placed	10.633643
415	top	2.1044583
416	gonna	7.2410192
417	25000	15.44026
418	homes	23.232347
419	parts	3.9851775
420	criminalization	8.067427
421	consistency	5.0492096
422	t	10.395308
423	disasters	4.8821526
424	looks	2.842803
425	honors	11.989058
426	frog	10.431802
427	thousands	13.0440445
428	guilty	5.2501097
429	anger	11.853747
430	torture	4.9262934
431	,”	3.6083338
432	thoroughly	3.9783237
433	fuel	7.341875
434	person	4.660754
435	approach	7.448635
436	mall	2.6046991
437	soon	5.0295944
438	powerful	12.247617
439	troops	14.77241
440	rights	10.428773
441	point	3.9150188
442	claim	8.293091
443	gesture	10.881671
444	ideal	8.183977
445	missionary	9.691314
446	afghanistan	24.448301
447	problem	2.1420808
448	freedom	14.993772
449	mostly	2.253827
450	youtube	4.573015
451	discovering	9.055109
452	arduous	14.642368
453	upset	5.781933
454	stroke	11.38306
455	ads	3.7098985
456	dealer	2.0130076
457	arabia	6.2222967
458	negative	4.2961187
459	cornea	13.289822
460	prostitution	3.2761545
461	sexual	3.1730733
462	everyone	6.268546
463	biggest	3.4613235
464	new	3.6629994
465	hitting	8.500937
466	flyers	29.22473
467	nuclear	2.1091218
468	tanaka	10.346101
469	divorcing	5.0845757
470	warm	11.832971
471	safer	7.9941206
472	forward	3.9763033
473	celebrated	15.682749
474	overthere	8.329035
475	cancer	26.911518
476	emotionally	17.77008
477	workers	9.77384
478	great	14.393664
479	increasing	8.888881
480	gone	3.441912
481	mosul	17.054857
482	d	8.289984
483	laws	4.1122646
484	minnesota	12.363376
485	rewarded	7.1783094
486	racism	11.552922
487	cruelty	15.305923
488	polish	4.62103
489	increase	8.161494
490	bananas	2.6248744
491	news	6.581175
492	work	5.921112
493	shower	3.6775947
494	dogs	15.704444
495	decided	5.328843
496	food	13.113293
497	identification	21.114172
498	selfie	3.790049
499	after	5.269553
500	adolf	21.932102
501	same	1.3921394
502	assassination	6.0666456
503	luckily	7.0386343
504	idiotic	1.2822206
505	gofundme	20.448153
506	sense	6.990472
507	solve	5.236127
508	astonishing	4.410345
509	outrun	5.3222113
510	notice	2.859551
511	office	6.5829315
512	foreign	1.8213196
513	siege	6.1996927
514	turned	8.049395
515	jewish	11.906897
516	executives	7.314355
517	canada	9.666987
518	bengazi	3.6083338
519	banking	7.488241
520	twenty	4.559063
521	spy	1.8236744
522	thirst	18.001272
523	compromising	2.6664333
524	ones	3.0402963
525	cities	9.456866
526	worry	3.0745995
527	star	8.944554
528	banks	12.747065
529	saturday	6.4613733
530	deny	2.625007
531	250	12.17335
532	suspecting	2.1271243
533	fernandez	22.403442
534	are	11.241664
535	unscathed	10.948532
536	spend	5.2271147
537	culture	6.485097
538	muslim	7.8807726
539	sleep	13.973224
540	baby	16.422977
541	poor	14.283192
542	area	11.682991
543	gorilla	12.683636
544	students	13.63012
545	stress	13.851261
546	using	7.9870663
547	fascinated	6.743415
548	places	4.769414
549	particularly	6.0723877
550	air	11.235218
551	services	9.380663
552	s	8.83079
553	wants	4.643285
554	applied	5.94368
555	moly	17.118298
556	healthcare	19.008823
557	may	7.123002
558	dissipate	7.414379
559	weird	1.8475116
560	tried	2.898956
561	year	4.981017
562	stud	1.9816375
563	humans	17.558855
564	destroyed	12.452661
565	turkey	11.267575
566	truth	4.0481796
567	guarantee	6.1083746
568	guns	4.2605696
569	nation	7.697896
570	priorities	7.348097
571	ms	14.0026455
572	profit	9.597269
573	arising	6.5323677
574	topics	6.831333
575	airport	10.309106
576	un	3.1815257
577	overall	3.4766955
578	magnificent	12.174452
579	duty	13.848836
580	territory	9.00857
581	difficult	13.525424
582	sometimes	6.3535643
583	beating	5.975234
584	stressful	11.95964
585	advice	9.232602
586	gruesome	9.150388
587	tragedy	23.834005
588	witness	8.616941
589	wasting	2.709424
590	manner	4.14227
591	egotistical	2.2288926
592	foot	9.033996
593	don	4.8125525
594	toilet	4.0556793
595	rock	14.875294
596	care	6.6638546
597	becoming	5.465002
598	pass	4.5553017
599	behind	3.8714159
600	due	11.301978
601	phony	1.0045497
602	spiritual	21.596317
603	ruled	8.115718
604	nearby	8.976719
605	feeding	10.997805
606	shouldn	6.6624517
607	kids	9.836648
608	jail	6.4394503
609	her	12.929517
610	mountains	18.835411
611	love	18.33123
612	canot	11.161722
613	drinks	3.6393583
614	else	1.6615844
615	impact	15.328216
616	kardashian	2.9253063
617	get	11.30281
618	overreach	3.7345943
619	rely	11.382262
620	crisis	6.1965685
621	suspend	8.321951
622	along	8.524868
623	reproduce	4.4931755
624	references	8.956949
625	worse	2.500008
626	contracts	3.53229
627	demonstration	3.7601678
628	mi	13.0441
629	it	5.9610243
630	missing	4.3840933
631	this	4.944603
632	came	9.712813
633	than	3.8683717
634	overshadowed	3.7172246
635	buddy	5.47929
636	although	2.8773417
637	gainful	5.7575016
638	difference	5.226372
639	unfair	10.235933
640	chair	6.3286133
641	till	4.965728
642	despite	2.580957
643	ridiculously	3.4652724
644	jet	8.562806
645	keep	2.8928304
646	disadvantage	6.5297775
647	lifelong	14.889731
648	yet	3.3972366
649	line	5.0469275
650	lovers	9.287705
651	situation	6.8475084
652	gun	3.9701111
653	forced	5.916395
654	fighter	18.913137
655	thirty	4.2713156
656	forget	6.0999937
657	very	8.413928
658	shit	3.9391997
659	borders	6.6532917
660	couldn	6.785178
661	anymore	1.9000065
662	motivations	6.1573677
663	play	4.086081
664	allah	12.429472
665	frustrated	4.9252977
666	organ	5.9791
667	country	6.6953096
668	west	5.6654463
669	trips	9.155329
670	died	18.171051
671	citizenship	15.415605
672	angry	12.292625
673	fund	3.5129263
674	admit	1.6988463
675	obama	9.982361
676	pissy	2.2518466
677	‘	12.944819
678	obtain	13.640441
679	spreading	8.211649
680	five	6.2720366
681	deeply	9.444398
682	thanks	7.438366
683	side	2.270584
684	attacks	6.31048
685	advertisement	6.0691376
686	happier	6.0254803
687	ourselves	12.740059
688	doesn	4.011635
689	case	2.374959
690	end	4.9904966
691	location	9.489232
692	transported	21.466448
693	normally	2.4203901
694	members	5.4357147
695	city	10.410934
696	malfunction	5.3089943
697	interested	1.1657395
698	visits	11.77437
699	fear	3.0011446
700	positivity	16.624079
701	current	4.651349
702	birth	15.42812
703	rhinoceros	13.505273
704	peoples	10.545737
705	farm	8.351902
706	hhhhhhmmmmmmm	3.6083338
707	made	9.185754
708	fired	5.556509
709	continuing	3.3234544
710	drastically	4.0433054
711	timely	16.798378
712	saw	9.013995
713	probable	4.4449196
714	rupture	9.545552
715	damages	12.798967
716	seen	4.1339417
717	participating	4.900468
718	exactly	3.0773866
719	chained	8.711569
720	statistic	8.627008
721	lost	18.643097
722	influence	8.6775875
723	with	7.647604
724	varieties	5.4654436
725	surprise	1.9218158
726	concious	11.345607
727	committing	4.701413
728	follow	7.6459675
729	beginning	8.356612
730	finger	4.4970264
731	fungus	3.356428
732	tired	4.4735956
733	hastings	6.3939724
734	seriously	2.548928
735	trusted	5.5245533
736	worried	1.8525885
737	neighboring	9.63327
738	eastern	9.727603
739	mike	8.467406
740	connected	11.19735
741	little	6.3142767
742	inherent	9.68541
743	obese	12.969292
744	thing	2.775521
745	bless	18.668858
746	unreal	7.460207
747	expand	5.0260334
748	gosh	9.262398
749	info	5.9327555
750	fruit	6.7751513
751	inefficiency	7.1132755
752	keeps	2.2830195
753	carolina	18.906296
754	sure	3.7240217
755	remain	6.3740797
756	par	3.3092043
757	!'	3.6083338
758	trend	1.3413413
759	marks	17.597078
760	earlier	4.442584
761	scene	7.7468195
762	haunting	15.838367
763	good	7.2372456
764	epidemic	6.2477503
765	split	1.6881226
766	ten	4.2254834
767	devices	6.8753605
768	agenda	3.8531687
769	hehre	3.6083338
770	decisions	11.860002
771	huge	10.384476
772	aggravation	6.2950773
773	smog	6.2027884
774	race	8.364145
775	whether	3.8761425
776	tactic	2.303735
777	out	6.1848335
778	decision	12.557718
779	fool	1.2842638
780	classroom	9.846788
781	teenagers	7.8108215
782	goes	3.7283058
783	geneva	16.035736
784	child	12.971426
785	already	2.7165697
786	starving	17.607805
787	problems	6.1070824
788	opening	3.362816
789	manipulated	4.146176
790	coconut	3.3165696
791	baseload	7.219694
792	france	11.896096
793	st	10.16738
794	innocent	13.766271
795	within	7.2188015
796	risk	6.105438
797	inefficient	5.5786333
798	population	7.4664364
799	she	9.940394
800	closely	3.1706965
801	class	6.069312
802	possible	4.977438
803	aforementioned	3.1635208
804	murder	12.273915
805	easily	4.579999
806	perpetrators	8.371481
807	shutter	4.4288197
808	comes	6.8858194
809	happens	4.4973097
810	disturbed	5.0495367
811	tragically	18.734312
812	…	10.182337
813	curious	1.4743772
814	court	4.334463
815	service	12.757931
816	animals	25.097569
817	real	4.198227
818	intended	5.2848015
819	hollywood	4.103462
820	affordable	13.9695635
821	crops	4.4757195
822	county	7.3477097
823	throws	6.292819
824	choice	9.749268
825	permanently	1.9267437
826	qaeda	12.589323
827	imposed	6.530018
828	online	4.314027
829	enter	8.14434
830	backed	5.4872713
831	[	9.565295
832	reach	15.377938
833	atrocity	10.860006
834	disgusting	2.3838668
835	qualities	5.9210587
836	harder	3.711766
837	wrong	3.7050545
838	accomplished	6.8671417
839	medical	12.901487
840	recent	4.2545204
841	painting	12.382747
842	east	9.047526
843	dragged	5.355278
844	decades	6.5484905
845	do	6.353894
846	concerns	9.866961
847	proclaiming	6.72752
848	however	2.8753946
849	missed	6.891943
850	piece	5.2166014
851	facing	13.454424
852	cell	6.994397
853	granted	5.534809
854	blinded	18.406128
855	included	3.9995558
856	savages	11.808214
857	n	7.5794106
858	300	10.482166
859	catastrophe	6.667844
860	fiance	6.0601425
861	lacking	3.1090128
862	areas	10.097849
863	countries	3.400994
864	could	5.0130825
865	found	5.05762
866	overflow	5.528388
867	now	3.8691828
868	phenomenon	3.7949607
869	rules	4.341263
870	wisconsin	20.727608
871	poisoning	7.668336
872	telling	2.2978654
873	their	9.851209
874	erase	10.725518
875	belatedly	3.8563702
876	charts	14.324274
877	tested	3.2562861
878	kylie	16.009052
879	planet	8.937581
880	heartbreaking	32.814392
881	floods	14.475473
882	heyy	12.992326
883	irrelevant	3.5577734
884	editor	6.784363
885	somehwere	4.2278976
886	longer	1.9014649
887	declined	7.3888683
888	existence	2.4967842
889	of	4.532629
890	intriguing	3.0644288
891	til	6.0497665
892	dangerous	2.34326
893	suicide	16.112675
894	disposed	11.270358
895	chicago	22.17132
896	sides	2.9816303
897	stories	6.8087397
898	for	6.3946924
899	disrupting	4.942013
900	google	7.1179914
901	privileged	14.192454
902	industries	7.274335
903	families	25.18661
904	fully	3.5150504
905	worked	4.4322853
906	leads	9.798443
907	celebrity	3.7750332
908	hearing	11.43134
909	verge	5.647751
910	19	15.73279
911	stronger	3.0572
912	vandalism	17.610294
913	wildfires	15.618931
914	religion	7.6998377
915	and	10.926409
916	’	15.246721
917	encountered	9.167548
918	sucks	6.389449
919	honestly	3.5130005
920	violent	6.1352015
921	endure	10.87757
922	monsters	6.516245
923	eat	10.341688
924	path	14.41634
925	typo	5.0921803
926	mexico	8.194101
927	price	4.004912
928	generations	14.679229
929	convention	1.8509263
930	talk	6.6781836
931	accessed	14.242781
932	dude	3.6622326
933	cause	6.894553
934	sherawat	3.6083338
935	search	11.561216
936	past	6.2785387
937	kinda	5.774246
938	hefty	5.5876837
939	surviving	8.298123
940	educational	10.063261
941	guy	2.6649132
942	cages	5.91088
943	amazing	18.272205
944	our	15.374177
945	today	9.153515
946	admissions	7.366647
947	!,	3.6083338
948	itt	2.6544225
949	various	5.407091
950	amongst	4.45345
951	proud	9.382622
952	towards	7.1936607
953	future	2.6228578
954	beautiful	22.362047
955	enjoy	4.9775724
956	district	20.783743
957	visual	19.005161
958	mate	8.789635
959	game	2.7011364
960	particular	3.5238266
961	slaves	7.7880497
962	collapsed	3.7754393
963	like	4.1031303
964	coroners	9.930046
965	chemicals	5.6111794
966	zoos	10.532422
967	co2	2.4776378
968	zookeepers	10.394249
969	afford	6.788603
970	1998	9.281295
971	challenge	7.142556
972	block	3.8566835
973	anyway	1.4232366
974	terror	4.2140703
975	global	7.1316633
976	accounts	2.7227104
977	down	5.456559
978	communication	18.853346
979	bitter	7.571745
980	owners	5.171732
981	going	4.129443
982	prayers	30.320368
983	surprised	2.2606587
984	nomination	8.565255
985	face	11.721766
986	because	5.784333
987	hameed	18.387392
988	freedoms	9.557543
989	everyones	8.089223
990	own	4.9678917
991	girls	6.215786
992	dressed	4.0973215
993	killer	8.204741
994	dylan	12.960679
995	special	8.599257
996	republicans	8.230099
997	term	8.474961
998	didn	3.3912985
999	upon	8.548522
1000	snowflakes	17.708004
1001	handed	6.865678
1002	civil	8.986607
1003	habit	2.9230592
1004	rife	6.3373795
1005	hottest	2.2372513
1006	son	9.538319
1007	extremism	5.457116
1008	first	7.74603
1009	..	6.9521837
1010	undermine	3.7430906
1011	rhino	16.852943
1012	believe	3.8227904
1013	measures	9.167598
1014	myself	2.8792534
1015	10	11.8190155
1016	'	6.885166
1017	interferring	3.8381684
1018	pellets	12.665523
1019	whenever	6.5173607
1020	inc	9.829102
1021	%	4.4958925
1022	kid	6.110564
1023	explores	13.330937
1024	american	9.314073
1025	ability	6.287431
1026	debates	5.280472
1027	founding	11.173836
1028	1	7.127899
1029	survived	11.327437
1030	role	7.7114973
1031	preventable	20.330585
1032	remember	9.319041
1033	example	4.7844677
1034	quench	14.354307
1035	interact	5.0078955
1036	kind	5.7633276
1037	suburbs	12.698091
1038	weeks	6.884202
1039	pushing	3.1401005
1040	push	3.7252102
1041	dam	9.12505
1042	other	1.7568812
1043	while	2.7459302
1044	recognized	8.044657
1045	identify	18.960407
1046	fall	4.8581276
1047	served	10.104128
1048	wound	23.740618
1049	integrity	6.3795357
1050	immigrant	8.987473
1051	noticed	2.2331448
1052	reexamined	11.231221
1053	sneak	2.282185
1054	united	7.319475
1055	jakarta	8.713897
1056	guard	2.5315754
1057	items	3.7400599
1058	shoulder	10.444029
1059	works	2.0414784
1060	protest	8.422318
1061	feeling	11.414083
1062	drop	4.980237
1063	accused	6.2601748
1064	tear	15.480654
1065	order	6.03071
1066	likes	2.644656
1067	eye	5.4286633
1068	gassed	13.23188
1069	burns	20.898844
1070	nasa	6.915653
1071	effect	2.1645713
1072	find	5.76328
1073	big	7.346525
1074	human	12.173243
1075	worries	3.1715631
1076	?!	3.6083338
1077	confederate	6.448618
1078	wiped	5.8838882
1079	seemed	3.9544406
1080	broke	3.989339
1081	media	8.728458
1082	nasty	3.2858765
1083	conversation	2.7767668
1084	investigated	7.043418
1085	beloved	16.949337
1086	doing	5.514307
1087	space	7.244035
1088	starts	8.279515
1089	fight	13.628698
1090	multiplying	4.8971376
1091	low	6.0544024
1092	divorce	8.444959
1093	woman	6.4882154
1094	hilary	12.356714
1095	feared	3.104853
1096	required	6.426382
1097	diets	12.190317
1098	pressures	5.359063
1099	borderline	3.045408
1100	york	9.792039
1101	stating	7.411313
1102	disruption	12.81546
1103	devastating	18.827288
1104	around	6.0286922
1105	rates	6.204053
1106	legally	4.773288
1107	others	3.2300782
1108	fun	6.0757446
1109	necessarily	3.7590325
1110	looking	4.546178
1111	laugh	3.4049742
1112	drought	5.6235876
1113	noble	12.848678
1114	picture	7.2859697
1115	talked	4.121362
1116	upheaval	13.613344
1117	used	7.657281
1118	barrier	8.636332
1119	.	7.0527086
1120	atrticles	3.6083338
1121	wide	7.4281187
1122	storm	5.4748526
1123	crimes	4.702918
1124	instances	5.959959
1125	schoolers	8.217706
1126	p	6.946679
1127	following	6.4556713
1128	law	5.72845
1129	exciting	5.072116
1130	times	9.431339
1131	visiting	7.9397545
1132	ideas	4.94913
1133	written	13.985882
1134	dna	4.967103
1135	consuming	12.088345
1136	paths	14.107693
1137	in	4.0311885
1138	education	10.763985
1139	reasonable	1.677093
1140	record	5.664914
1141	added	5.7742205
1142	disaster	3.1716974
1143	father	12.6073
1144	streets	16.121298
1145	being	5.022152
1146	conclusion	3.9186645
1147	sickest	5.9723577
1148	see	6.8457575
1149	circus	3.6812327
1150	hear	11.171152
1151	shame	7.2682743
1152	fifteen	5.635687
1153	professionals	6.2716017
1154	contract	4.220943
1155	quick	9.211931
1156	socialist	8.051786
1157	meningitis	9.116132
1158	figuring	2.4340043
1159	enclosure	13.688917
1160	digital	13.260259
1161	senate	9.465691
1162	residue	4.561507
1163	massive	6.5184364
1164	progressing	3.367999
1165	at	3.7366633
1166	carey	12.819415
1167	up	3.1485245
1168	pipeline	7.195155
1169	permission	9.148766
1170	hopeless	8.405486
1171	kim	9.580011
1172	warming	2.337703
1173	come	7.222847
1174	holy	16.833412
1175	checking	2.808048
1176	actions	5.4464254
1177	infamous	2.628704
1178	gets	9.009641
1179	beneficial	4.7635345
1180	enroll	10.608459
1181	president	7.6950483
1182	shields	10.118946
1183	standard	4.8646784
1184	knows	2.9021697
1185	monger	4.028329
1186	purpose	5.598036
1187	support	12.6411295
1188	linked	5.8994894
1189	feed	7.6042633
1190	circumstantial	6.5261946
1191	pushed	3.14068
1192	got	10.338979
1193	wrote	9.8002615
1194	obsession	2.194852
1195	fences	8.170305
1196	fashion	2.3113227
1197	involved	4.2887583
1198	heck	3.0690215
1199	am	8.62384
1200	lie	3.5354488
1201	acts	5.8397903
1202	department	4.8316727
1203	feels	9.4002075
1204	"."""	3.6083338
1205	paranormal	7.380561
1206	music	14.585298
1207	writer	7.372424
1208	science	5.5206003
1209	scenario	1.9623934
1210	trump	8.909594
1211	matter	3.223112
1212	ban	2.2174287
1213	event	4.6065264
1214	blight	13.498158
1215	lived	7.610794
1216	overwhelms	7.6951275
1217	long	2.900419
1218	wishes	7.9340563
1219	merged	4.9201603
1220	ill	6.403985
1221	often	8.234454
1222	possibly	2.412274
1223	become	6.591406
1224	academy	5.251733
1225	avoided	5.3993235
1226	failed	1.6934106
1227	bankers	8.340998
1228	pilot	13.772648
1229	childhood	20.466106
1230	impeached	2.047596
1231	horrendous	13.151976
1232	timeshares	3.8368015
1233	liberties	3.8082755
1234	angers	5.2344227
1235	rally	9.014788
1236	shampoo	4.1942425
1237	flag	7.956093
1238	gmo	9.767191
1239	carried	9.272238
1240	2012	11.245034
1241	acting	2.3313012
1242	harshly	5.0179176
1243	wins	8.875634
1244	incentives	6.0780983
1245	worrisome	1.4912317
1246	common	5.8801327
1247	skin	13.28244
1248	reality	4.969926
1249	traditions	9.645559
1250	average	5.0837193
1251	upsetting	4.3242245
1252	river	23.960375
1253	200	9.703595
1254	operations	7.8509645
1255	increased	10.640421
1256	displaced	21.531002
1257	continually	6.051278
1258	pornography	2.2669156
1259	build	5.6747847
1260	part	1.7725934
1261	bodies	7.115656
1262	put	4.8189764
1263	address	10.902188
1264	right	7.5187244
1265	sought	14.831417
1266	definitely	4.135008
1267	claims	5.6687193
1268	operation	5.0319443
1269	5000	11.943203
1270	al	9.913584
1271	types	2.3748941
1272	orphaned	26.382593
1273	product	5.6453447
1274	vault	4.4670696
