	tokens	ratings
202	foragers	3.0658371
203	incongruities	2.994048
204	innovative	3.2018785
205	adulthood	2.9898589
206	insufficient	2.975575
207	bombs	2.9760072
208	fully	3.0503044
209	recalled	2.975575
210	santiago	3.0571663
211	shooting	2.984712
212	climate	3.0934415
213	parents	3.0967495
214	congressional	3.0654466
215	sky	2.975926
216	farther	2.977645
217	bottles	3.093187
218	become	3.0869637
219	track	3.1295855
220	insurrection	2.9759836
221	roller	3.035348
222	goals	3.134493
223	division	3.0814407
224	hardly	2.9777544
225	1998	2.9986491
226	chances	3.0757792
227	folic	3.1224613
228	specifications	3.1140325
229	misused	2.9804971
230	membership	3.1385803
231	infrastructure	3.0847042
232	tempting	3.0102656
233	brands	3.1274104
234	building	3.0803568
235	assembled	3.0617793
236	foot	2.9794688
237	took	2.9787846
238	chart	3.038818
239	travel	3.0836213
240	adding	3.1457582
241	playgrounds	3.160926
242	night	3.0039797
243	cognitive	3.0860088
244	tying	3.0553856
245	southern	3.0220838
246	support	3.1224036
247	v	3.0260012
248	reveal	3.0178604
249	fail	3.0107312
250	tote	3.1472952
251	greenmunk	3.0873408
252	dublin	3.1135333
253	retail	3.1003046
254	nodded	2.975575
255	concern	2.975671
256	calculator	3.099824
257	descending	2.9755898
258	peak	3.0437279
259	sentenced	2.9756365
260	sites	3.0908546
261	pulled	2.975575
262	geography	3.0106604
263	obligation	3.124002
264	hk	3.0744474
265	harmonic	3.1366625
266	houses	3.0452566
267	388	3.0140762
268	reaching	2.986371
269	gold	3.0490332
270	ray	2.9757688
271	skating	3.025793
272	somalia	2.984835
273	neutralize	3.053789
274	nov	2.9908273
275	install	3.1529346
276	didn	2.990249
277	shit	3.0739744
278	audio	3.1354268
279	then	3.0866756
280	trade	3.0891562
281	130	2.9911857
282	1987	2.9983523
283	partner	3.1372495
284	different	3.083457
285	ferried	2.975575
286	unintentionally	2.975575
287	upbringing	3.0172286
288	trailblazing	3.1606593
289	plato	3.0704238
290	500	3.0491717
291	free	3.192954
292	registration	3.068675
293	repartimentos	3.0873408
294	/	3.0316222
295	this	3.130474
296	influence	3.0100439
297	west	2.986327
298	toward	3.0139763
299	bad	2.9772325
300	election	2.9788947
301	finished	3.0909722
302	promenade	3.1059582
303	distance	2.9826863
304	?’	3.0873408
305	critics	3.0914629
306	lot	3.1142187
307	crimes	2.9911904
308	profit	3.1355565
309	transform	3.1649501
310	surviving	2.9757016
311	counts	3.0572178
312	gere	3.1133363
313	molina	3.1076932
314	discrimination	3.0545356
315	paper	3.03162
316	border	2.9877732
317	lens	3.0738761
318	warren	2.9975107
319	heels	2.9805782
320	color	3.100108
321	choice	3.1257076
322	november	2.9974375
323	quarterback	3.001865
324	dropped	2.975575
325	motive	3.0159514
326	removed	2.9756742
327	play	3.206319
328	commerce	3.0676506
329	pass	3.0956142
330	edge	3.0400913
331	virtually	3.0892413
332	bridges	3.0400019
333	behavior	3.0633013
334	lots	3.1433158
335	saints	3.0480053
336	forms	3.085005
337	side	3.0211804
338	input	3.0842526
339	commission	3.0888846
340	selling	3.1113977
341	transaction	3.1168003
342	sculptures	3.0286138
343	assert	3.1645322
344	robes	2.980924
345	found	2.9847753
346	owners	3.080142
347	slower	2.9757752
348	information	3.0727248
349	braves	2.976109
350	style	3.152546
351	urchins	3.003678
352	ants	3.0623872
353	tried	2.9764485
354	these	3.1283894
355	salvaged	2.9776437
356	writer	3.0736866
357	11	2.982685
358	readers	3.1456244
359	highlighted	3.0241413
360	escalator	2.9758167
361	cover	3.046965
362	determines	3.1056385
363	a	3.1241996
364	vive	3.0881174
365	levels	3.1012876
366	eliminate	3.121626
367	approached	2.9760773
368	internet	3.081966
369	adrienne	3.06873
370	dollars	3.0767305
371	david	3.0690174
372	alive	2.9828439
373	cheney	3.0644739
374	television	3.0725045
375	normal	3.0220032
376	text	3.0659015
377	outbreak	2.975575
378	ct	3.0604377
379	sex	3.1037803
380	qualities	3.1083038
381	arts	3.1181986
382	;	3.0545504
383	loss	2.975575
384	seeds	3.0238562
385	sold	3.0195603
386	slow	2.975575
387	enough	3.0307095
388	blessing	2.997396
389	introduction	3.077425
390	signs	3.0335038
391	spree	3.1416245
392	schafer	3.078069
393	29	2.9780805
394	12	2.9984221
395	ballot	2.9937696
396	forward	3.0435393
397	addressing	3.0576575
398	iceland	3.0384192
399	thousand	3.0113618
400	leading	3.048001
401	brick	3.0015397
402	face	2.977281
403	cite	3.0789616
404	members	3.1164014
405	pull	3.1001732
406	maintains	3.152586
407	google	3.0965834
408	happen	3.0878396
409	cap	3.0395393
410	dubai	3.1021833
411	replace	3.070706
412	notes	3.0397525
413	nouveau	3.0743263
414	our	3.1833467
415	tendered	2.977558
416	easily	3.0333035
417	invariably	3.0235906
418	reupke	3.0873408
419	thomas	3.0372066
420	missing	2.975575
421	war	2.9889266
422	natives	3.0627422
423	religion	3.057841
424	raised	2.9784055
425	zone	3.0310035
426	whose	2.9800725
427	kids	3.2037501
428	freedom	3.1459177
429	rhythm	3.080499
430	inn	3.0008078
431	atmosphere	3.0939672
432	natural	3.150136
433	unveils	3.1155343
434	compressed	2.9770725
435	are	3.1046944
436	papers	3.0203378
437	window	2.9821923
438	sensuous	3.07525
439	sourdough	3.1272848
440	exposition	3.047547
441	documentary	3.112668
442	equivalent	3.0913782
443	designers	3.1134202
444	malibu	3.095852
445	caravan	2.9820907
446	jobs	3.0878658
447	abroad	3.0290284
448	manhattan	3.07345
449	positively	3.0884056
450	rewriting	3.10086
451	apologized	2.975575
452	unchallenged	3.017335
453	hall	2.984289
454	domain	3.0946553
455	images	3.0363395
456	presidential	3.0214565
457	propose	3.1367197
458	gifts	3.0652447
459	bar	3.0992675
460	seven	3.0280108
461	he	3.0370474
462	kong	3.1312213
463	unique	3.1894543
464	450	3.064092
465	100	3.084874
466	kinds	3.111233
467	bastard	2.998336
468	chugging	3.0332925
469	amd	3.1238546
470	exit	2.978463
471	mission	3.1335175
472	ingratiate	3.130767
473	use	3.163236
474	reading	3.099667
475	relegated	2.975748
476	identification	3.0995994
477	squat	3.0153205
478	finally	3.0261009
479	gently	2.987476
480	lebanon	3.0335429
481	others	3.0416734
482	anyway	3.0178127
483	vastly	3.0352402
484	tears	2.975575
485	july	3.0525007
486	]…	3.0873408
487	into	3.0552213
488	i	3.1614907
489	whitewater	3.0773478
490	dow	3.0108807
491	shop	3.1192343
492	sundown	3.0641632
493	worlds	3.1002665
494	sound	3.1200402
495	appalachian	3.0848947
496	became	2.975664
497	bills	3.0124643
498	reproduced	2.9939682
499	fellow	3.0838108
500	torricelli	3.0873408
501	probe	2.9946945
502	knows	3.0509112
503	merit	3.0923295
504	form	3.084275
505	but	3.01265
506	predecessor	3.0144572
507	solid	3.1015747
508	interests	3.1373508
509	birds	3.028728
510	student	3.0808754
511	prescribers	3.1126437
512	pockets	3.0038347
513	sauvignon	3.118451
514	sincerely	3.077539
515	need	3.14112
516	earned	3.1589549
517	union	3.0794177
518	).	3.0873408
519	relationships	3.0790415
520	considers	3.0560734
521	ride	3.1552563
522	mainland	2.990964
523	native	3.078215
524	owing	2.9780266
525	credibility	3.073216
526	industrial	3.0479136
527	atoms	2.990953
528	unnerved	2.975575
529	want	3.1807468
530	been	2.9795723
531	wednesday	3.0491762
532	offers	3.1818047
533	hear	3.1296651
534	beautiful	3.146218
535	sewage	2.9804032
536	give	3.1820362
537	ever	3.077931
538	customize	3.2552245
539	motors	3.0437627
540	words	3.0031068
541	idyllic	2.9869494
542	uses	3.092465
543	cartel	3.0147648
544	fortress	2.977109
545	decline	2.9773562
546	francisco	3.0813394
547	r	3.0952454
548	issues	3.0209157
549	graveyard	2.9761212
550	deputy	2.9908144
551	m	3.1153188
552	decided	2.9976192
553	collapse	2.975575
554	sleeping	2.975575
555	living	2.9965239
556	today	3.12544
557	conversations	3.0608156
558	young	3.0128527
559	"!"""	3.0873408
560	conspirator	2.9757087
561	lowering	3.0126772
562	erotic	3.104198
563	hotel	3.0277154
564	was	2.9757178
565	possess	3.1481516
566	1970s	2.998058
567	flight	2.98136
568	vulnerable	2.975575
569	54	2.9823081
570	slept	2.975575
571	claims	3.0307436
572	dtv	3.094516
573	catch	3.1034017
574	photodiodes	3.0191257
575	jet	2.976672
576	colonial	3.0538273
577	cafés	3.1451695
578	pursue	3.1458006
579	ventures	3.0506082
580	133	2.9823744
581	bridge	3.0133405
582	seconds	3.0131679
583	detection	3.0874672
584	corporal	2.9828467
585	jump	3.0545197
586	passage	2.9775937
587	warming	2.9855301
588	rent	3.0691593
589	l	3.1083403
590	doing	3.144703
591	age	2.9900427
592	'	3.1025944
593	hawthorne	3.0635762
594	patroness	3.0105288
595	globes	3.0160544
596	conducted	3.0143223
597	water	3.0051289
598	ky	3.025185
599	ex	3.0189786
600	consumption	3.096581
601	compact	3.075232
602	imagine	3.018539
603	hearing	3.026855
604	saved	3.0068123
605	waste	3.1470585
606	joining	3.1365495
607	creatures	3.0801032
608	hail	2.97759
609	sheen	2.9810624
610	rather	2.9804075
611	born	2.976898
612	indianapolis	3.0650544
613	at	3.0899625
614	common	3.059165
615	campbell	3.0208254
616	investigation	2.9887831
617	philharmonic	3.1428277
618	trimmed	3.0322516
619	tsim	3.0873408
620	partnerships	3.1351626
621	porcelain	2.987423
622	abode	3.0224555
623	“	3.1522076
624	suburban	3.0203245
625	titles	3.1385522
626	citizens	3.1096535
627	talent	3.1573267
628	england	3.024182
629	votes	3.0170915
630	state	3.003145
631	granted	3.0082512
632	bulls	3.0982957
633	efficiency	3.1135144
634	pale	2.975575
635	sport	3.1843598
636	insight	3.0880117
637	myself	3.0681622
638	windowed	3.022572
639	orange	3.0166185
640	landers	3.0335784
641	merged	2.97998
642	vegas	3.0893867
643	shrimp	3.0245337
644	lockheed	3.0181243
645	studio	3.1166298
646	52	2.9852054
647	restoration	3.116457
648	mundane	2.9927824
649	depending	3.009205
650	his	3.016932
651	hr5034	3.0873408
652	baseball	3.1581373
653	operator	3.0553534
654	office	3.0830429
655	pulse	2.9768941
656	burns	2.9804385
657	enclosed	3.0401034
658	downtown	3.0454018
659	karaoke	3.148611
660	inner	3.0675492
661	sand	2.9769588
662	mount	3.083491
663	drinks	3.1252415
664	karnes	3.0873408
665	successor	3.0264478
666	ethical	3.1338828
667	accuse	3.0605023
668	include	3.0792701
669	uniform	3.0869334
670	emotionally	2.9755864
671	that	3.1136842
672	standard	3.1304038
673	adolescence	2.9973402
674	turns	2.9989572
675	fight	3.1267803
676	missed	2.975575
677	wildfire	2.985154
678	extension	3.0827742
679	across	3.059546
680	balustrades	3.0578225
681	stars	3.0461636
682	joseph	3.0474572
683	"?"""	3.0873408
684	application	3.101953
685	boomboxes	3.0732703
686	council	3.0963192
687	ppv	3.1340122
688	more	3.0956604
689	existence	2.988003
690	under	2.97643
691	up	3.1159387
692	shores	2.9890175
693	jcc	3.0386884
694	temple	3.0032134
695	california	3.066574
696	very	3.0074914
697	fortuitous	2.9800584
698	repeat	3.1113348
699	short	3.0294833
700	satellites	3.0173135
701	lower	3.0309403
702	entry	3.040749
703	advantage	3.147194
704	furry	3.0004547
705	spike	2.982312
706	catastrophic	2.975575
707	permit	3.0985098
708	counter	3.0076683
709	square	3.0474803
710	generated	3.0298731
711	merely	2.9967759
712	bite	3.0356352
713	send	3.153769
714	cause	2.9946902
715	pfeifer	3.0659313
716	perceptions	3.0022078
717	analytical	3.0890045
718	industry	3.1107297
719	laughed	2.9767833
720	homosexual	3.0786588
721	arrested	2.9756713
722	reach	3.101305
723	train	3.0111341
724	bling	3.1247072
725	relative	2.9769435
726	disgruntled	2.975575
727	refugees	2.9755893
728	question	3.017614
729	baptist	3.0455422
730	reduction	3.1051822
731	patchwork	3.0168576
732	wouldn	3.058372
733	ideal	3.1326363
734	dinner	3.1308985
735	fair	3.1168697
736	cheers	3.1102433
737	femme	3.0210998
738	angles	3.0569236
739	25	2.9944742
740	lanterns	2.99633
741	carefully	3.0031781
742	craft	3.1573172
743	offer	3.1842346
744	africa	3.03635
745	fifteen	2.983139
746	raise	3.150692
747	empower	3.2278078
748	contribution	3.1117728
749	bush	3.0866845
750	gita	3.140311
751	advocate	3.1630843
752	couple	3.025574
753	procedures	3.0510924
754	ethics	3.1008162
755	club	3.155896
756	gardeners	3.1780255
757	italian	3.0941355
758	mark	3.0982828
759	f	3.0754132
760	moller	3.0152547
761	breaks	3.0288785
762	reliever	2.991348
763	halls	2.9974601
764	airmail	3.0164561
765	palestinians	3.1092484
766	admit	3.0207992
767	coalition	3.0652478
768	creating	3.1854436
769	glanced	2.975575
770	horns	3.0220215
771	opportunity	3.1733587
772	million	3.0390089
773	shame	2.9804688
774	pitch	3.1502013
775	knew	2.975638
776	hyperbole	3.0226104
777	mexico	3.0292962
778	themselves	3.0925102
779	imitation	3.0446534
780	well	3.046953
781	species	3.0668175
782	historically	3.02744
783	relation	3.0531209
784	cloth	3.012459
785	nervously	2.975575
786	merchant	3.0336187
787	roman	3.0770776
788	fall	2.9767745
789	rickety	2.975575
790	rate	3.1003506
791	big	3.0769372
792	roadside	3.025208
793	heavy	2.975575
794	governing	3.0912666
795	credit	3.1163893
796	products	3.1534548
797	tricycles	3.0731137
798	wrong	3.0289056
799	ant	3.1068993
800	anirban	3.0873408
801	mass	2.9855235
802	issue	3.03985
803	grade	3.094979
804	chopper	3.016183
805	softening	2.9756832
806	general	3.0590549
807	stages	3.074602
808	treading	2.9766047
809	after	2.9840195
810	later	2.989539
811	green	3.11846
812	contrasts	3.0480978
813	fabric	3.0885906
814	impact	2.985764
815	consisting	3.0873995
816	rabies	3.0016224
817	lethargy	2.975575
818	seaport	2.9994142
819	vulgar	3.079469
820	hair	2.9795837
821	picnicking	3.1407743
822	died	2.975575
823	by	3.0353737
824	assessing	3.0035992
825	tables	2.994325
826	chinese	3.076253
827	based	3.0853114
828	new	3.1416392
829	boutiques	3.1021764
830	quintessential	3.1262183
831	game	3.1628242
832	meticulousness	3.065867
833	mandibles	2.9755776
834	results	3.1049244
835	crumbly	2.975822
836	sights	3.088992
837	cruelly	2.975575
838	done	3.0950673
839	aid	3.0169435
840	powered	3.0004954
841	grove	3.0360951
842	sense	3.1049078
843	trash	3.1657538
844	last	2.9824314
845	extend	3.120344
846	impulse	3.0320678
847	occupation	3.02096
848	amazon	3.109881
849	wishing	2.9763412
850	necessary	3.0810618
851	tossed	2.9756162
852	traders	3.0622082
853	buying	3.150279
854	down	2.9848406
855	sensitive	2.9865115
856	spill	2.9776974
857	string	3.022568
858	post	3.076266
859	technique	3.0939784
860	congressmen	3.0825598
861	moved	2.975575
862	belly	2.9760242
863	existed	2.977817
864	plot	3.0235207
865	restructuring	3.0073843
866	ghost	2.9756029
867	colorful	3.136852
868	near	2.9801173
869	palsy	2.975575
870	costs	3.0682425
871	65	2.9840846
872	van	2.9818065
873	1975	3.0020888
874	816	3.0365293
875	northeastern	2.9796073
876	foundations	3.0295982
877	serve	3.1561456
878	dogs	3.075903
879	wanted	3.021287
880	trip	3.0564885
881	concerning	3.0374138
882	yeah	3.081128
883	mislead	3.0081346
884	prodigious	3.042734
885	dwindled	2.975575
886	watchers	3.0379949
887	tsui	3.0623622
888	expulsion	2.9759197
889	dealt	2.975575
890	!	3.2168899
891	operators	3.094636
892	talked	2.9819102
893	collectible	3.1809037
894	pint	3.1664102
895	longer	3.0172784
896	intellectual	3.1223326
897	air	2.9823458
898	]	3.0245662
899	glass	3.046067
900	1989	2.9882088
901	grey	2.975575
902	fund	3.1134899
903	rubbish	3.0831406
904	vega	3.042629
905	burning	2.9770808
906	4	3.0172343
907	loud	3.0376275
908	assistance	3.0218751
909	casually	2.9897401
910	less	3.0402107
911	think	3.1228268
912	elections	2.9838488
913	intending	2.983438
914	move	2.9907236
915	reward	3.1815903
916	fan	3.0719798
917	follow	3.1314275
918	achieving	3.177725
919	talks	3.0326428
920	armpit	2.975782
921	darkness	2.975575
922	plus	3.1502814
923	physical	3.0836968
924	imaginable	3.1041672
925	formal	3.0771208
926	coin	3.112043
927	make	3.208887
928	network	3.1317627
929	organized	3.1290293
930	51	2.9821787
931	e	3.118135
932	tucker	3.098583
933	abundant	3.091443
934	differentiate	3.1073658
935	system	3.1111958
936	goal	3.1542833
937	turkmenistan	3.0431428
938	outside	2.9958823
939	chapel	2.97857
940	collopy	3.0873408
941	secondary	3.0254233
942	reaches	3.0591905
943	troops	3.004664
944	,	3.0771623
945	ani	3.0472772
946	sensors	3.0368202
947	promote	3.2316675
948	renewing	3.145783
949	enhanced	3.1269014
950	messages	3.0355036
951	noble	3.0468433
952	completely	2.9946587
953	street	3.0529969
954	99	3.0414817
955	illegitimate	3.051508
956	fights	3.0831227
957	whom	3.0110662
958	amy	3.062362
959	islanders	3.0672092
960	terminology	3.0705302
961	chief	3.0509589
962	board	3.0936427
963	museums	3.126579
964	teller	3.07127
965	sub	3.0625496
966	much	3.0053818
967	"""."	3.0873408
968	chicken	3.0381062
969	mitch	3.0571039
970	concerned	2.9767022
971	surface	2.9816198
972	confess	3.007864
973	venkatarmani	3.0873408
974	et	3.1068866
975	price	3.1136403
976	characterization	3.1024663
977	upset	2.9755812
978	conditioned	3.035039
979	tips	3.1199799
980	weekend	3.0555298
981	stark	2.9766223
982	divide	3.1183064
983	buy	3.1814487
984	3	3.0309255
985	heard	2.982841
986	latch	2.9820457
987	things	3.1097183
988	ii	3.0588093
989	exclusive	3.1736207
990	expectations	3.039952
991	techniques	3.1230555
992	outings	3.1676238
993	hallways	2.975788
994	happy	3.159034
995	girls	3.15489
996	allowing	3.0746658
997	summer	3.059306
998	perspective	3.0915103
999	seedbombing	3.0873408
1000	sword	2.9766855
1001	reflection	2.9772553
1002	stall	2.985853
1003	fourth	3.011506
1004	enter	3.111993
1005	banquet	3.087335
1006	resemble	3.0025918
1007	speech	3.0501947
1008	bullpen	2.9770358
1009	luxurious	3.0794842
1010	anxious	2.975575
1011	of	3.073308
1012	position	3.0299594
1013	50	3.0186214
1014	confirmed	2.9881265
1015	://	3.0873408
1016	ruining	3.0891054
1017	bonanza	3.111526
1018	warbler	2.9775014
1019	spirits	2.9790134
1020	environment	3.1668897
1021	over	3.014781
1022	bride	3.0102718
1023	psychologists	3.1160583
1024	2100	3.0513887
1025	thought	2.9767978
1026	within	3.0733764
1027	millimeters	2.9757545
1028	gnarled	2.975575
1029	bag	3.052267
1030	linked	2.9865224
1031	among	3.047714
1032	come	3.1205688
1033	strike	2.9967923
1034	battery	2.991813
1035	interact	3.1377113
1036	patrolling	3.0213814
1037	lesson	3.0936217
1038	20	2.9890332
1039	changed	2.9791589
1040	imbalances	3.041982
1041	ok	3.025339
1042	embark	3.1571107
1043	litigation	2.986591
1044	youngsters	3.1565638
1045	kuwait	3.0600493
1046	budget	3.122814
1047	else	3.0572321
1048	dust	2.975575
1049	good	3.1565926
1050	attack	2.9756615
1051	implicates	3.049822
1052	statues	2.989103
1053	saleable	3.128759
1054	buddy	3.1638925
1055	between	3.0396793
1056	""""	3.100712
1057	florida	3.047867
1058	marvel	3.1238365
1059	stab	2.976859
1060	zheng	3.1154783
1061	release	3.0957112
1062	golf	3.1964927
1063	dame	3.0937247
1064	sniper	2.9757369
1065	join	3.2074175
1066	fraction	3.0063777
1067	territories	3.0116858
1068	causes	2.9775581
1069	mundos	3.1188385
1070	>	3.0472336
1071	authority	3.108797
1072	truro	3.0521567
1073	increasing	3.0763583
1074	08	3.0518928
1075	vice	3.070661
1076	british	3.079841
1077	shue	3.0403788
1078	.:	3.0873408
1079	accustomed	2.9962928
1080	cares	2.9845939
1081	"..."""	3.0873408
1082	programs	3.1407037
1083	seabass	3.0531993
1084	pleasures	3.107239
1085	taxi	3.0090075
1086	sea	2.976082
1087	influenced	3.007875
1088	online	3.1620471
1089	tuning	3.1414695
1090	diligently	3.0761278
1091	st	3.023885
1092	masterpiece	3.1821475
1093	juniors	3.086539
1094	cost	3.0811303
1095	handing	3.0693233
1096	supplies	3.0241332
1097	speed	3.0470448
1098	intervals	3.10022
1099	critical	3.0592089
1100	true	3.0855842
1101	emulating	3.078455
1102	husband	3.0140932
1103	herself	2.9869077
1104	involved	3.0352654
1105	produce	3.147396
1106	obscenity	3.0610805
1107	robredo	3.0333982
1108	branch	3.0314832
1109	pakistan	3.0443256
1110	damilola	3.0873408
1111	bit	2.9816003
1112	areas	3.0312655
1113	melted	2.975575
1114	belle	3.0800173
1115	adoptive	3.007893
1116	coins	3.0771673
1117	celebrates	3.1835308
1118	valley	2.9758923
1119	whispered	2.975575
1120	burgeoning	3.062087
1121	overcome	3.0002298
1122	pocket	3.0235848
1123	half	2.9957833
1124	radical	3.0706823
1125	dr	3.0639277
1126	police	3.0581536
1127	harbor	3.0276983
1128	culture	3.1399314
1129	its	3.079024
1130	bronze	2.9831188
1131	doors	3.0078955
1132	scheduled	3.0208392
1133	alliance	3.0856576
1134	therapy	3.0837338
1135	lykes	3.0873408
1136	taught	3.0540287
1137	hadn	2.975575
1138	bracketed	2.9773178
1139	whales	3.0724614
1140	extreme	3.007188
1141	bars	3.1085033
1142	arthurs	3.1071727
1143	clerical	2.9950392
1144	neighbors	3.099308
1145	suits	3.1000566
1146	victoria	3.0801709
1147	analysts	3.0613654
1148	civilized	3.1766822
1149	mbeki	3.0873408
1150	lebron	3.0987031
1151	www	3.1245332
1152	measure	3.1019182
1153	commercial	3.1372368
1154	27	2.9791276
1155	needing	2.97909
1156	food	3.1073294
1157	mountain	2.9910178
1158	sotheby	3.0940075
1159	sufferer	2.9756286
1160	organize	3.1932678
1161	knotted	2.975698
1162	sequence	3.0806308
1163	snow	2.975575
1164	screamed	2.9756374
1165	troubled	2.975575
1166	urbino	3.0396757
1167	grippers	3.1396198
1168	lesbians	3.112629
1169	wonder	2.994269
1170	ending	3.0348172
1171	welfare	3.0427473
1172	access	3.1321287
1173	sacred	3.1091967
1174	gas	2.988233
1175	discriminate	3.1366282
1176	wrapping	3.0177448
1177	relax	3.138454
1178	real	3.1412246
1179	refuse	3.0991156
1180	restaurants	3.1191845
1181	related	3.0199008
1182	works	3.136315
1183	leaves	2.977492
1184	clean	3.1633196
1185	town	2.9913242
1186	purity	3.1421764
1187	bill	3.0910518
1188	early	2.9899447
1189	minaya	3.072853
1190	trial	3.083828
1191	vital	3.113352
1192	rose	2.9757905
1193	queue	3.0442932
1194	.”	3.0873408
1195	pit	2.9937837
1196	stopped	2.975575
1197	drew	2.9759502
1198	63	2.9813519
1199	empire	3.013516
1200	wishes	3.0199158
1201	getting	3.087261
1202	machines	3.0903435
1203	sent	2.9784136
1204	peninsula	3.0304317
1205	educated	3.150022
1206	sole	3.0400157
1207	pace	3.085193
1208	remains	2.9919555
1209	daring	3.0796974
1210	settled	2.9757247
1211	composting	3.163514
1212	intense	2.982508
1213	deadly	2.975575
1214	however	3.014995
1215	acquisition	3.085505
1216	measures	3.060793
1217	canada	3.024263
1218	fast	3.072386
1219	shopgreen	3.0873408
1220	flag	3.064705
1221	national	3.14117
1222	love	3.1914392
1223	!”	3.0873408
1224	extinguish	3.0576842
1225	campaign	3.1167474
1226	both	3.1003785
1227	performing	3.128315
1228	tariff	3.056475
1229	esteemed	3.091004
1230	theatre	3.12783
1231	act	3.1314533
1232	duty	3.03817
1233	exchange	3.0969574
1234	fabulously	3.145096
